4146083	-3926	0.983	-0.015	0.025
53774	4145833	-3892	0.215	-0.434	0.980
53795	4145833	-3891	0.132	-0.380	0.940
53817	4145921	-3891	0.070	-0.394	0.921
53838	4145921	-3891	0.052	-0.296	0.816
53860	4145989	-3891	0.044	-0.303	0.754
53877	4145989	-3891	0.060	-0.376	0.776
53889	4146091	-3891	0.087	-0.401	0.787
53902	4146091	-3891	0.236	-0.392	0.932
53933	4145775	-3890	0.352	-0.396	1.083
53953	4145775	-3890	0.408	-0.452	1.198
53974	4145803	-3890	0.425	-0.510	1.348
53992	4145803	-3890	0.349	-0.479	1.306
54014	4145967	-3890	0.261	-0.456	1.314
54029	4145967	-3890	0.246	-0.442	1.353
54034	4145967	-3890	0.249	-0.435	1.461
54059	4146003	-3890	0.304	-0.453	1.569
54083	4146003	-3889	0.301	-0.383	1.562
54104	4145913	-3889	0.304	-0.361	1.555
54125	4145846	-3890	0.267	-0.374	1.468
54147	4145846	-3890	0.210	-0.394	1.413
54167	4145645	-3890	0.161	-0.358	1.325
54180	4145645	-3890	0.146	-0.350	1.266
54191	4145645	-3890	0.133	-0.338	1.219
54213	4145748	-3889	0.119	-0.371	1.181
54240	4145748	-3889	0.073	-0.345	1.080
54265	4145704	-3889	0.074	-0.303	0.954
54287	4145736	-3889	0.134	-0.299	0.911
54308	4145736	-3889	0.581	-0.219	0.375
54329	4145959	-3888	0.334	-0.370	0.748
54350	4145959	-3888	0.149	-0.458	0.858
54366	4145959	-3891	0.109	-0.351	0.902
54379	4145617	-3891	0.122	-0.252	0.978
54400	4145617	-3891	0.189	-0.150	0.966
54423	4145577	-3888	-0.285	-0.274	0.785
54442	4145577	-3888	0.005	-0.291	0.697
54462	4145664	-3888	0.125	-0.324	0.792
54476	4145664	-3888	0.279	-0.394	0.888
54488	4145664	-3887	0.349	-0.495	0.887
54499	4145786	-3887	0.394	-0.531	0.832
54522	4145786	-3887	0.144	-0.447	0.690
54556	4145621	-3887	0.183	-0.433	0.741
54576	4145716	-3886	0.233	-0.385	0.933
54597	4145716	-3886	0.282	-0.395	0.821
54618	4145750	-3886	0.160	-0.426	0.844
54639	4145750	-3886	-0.070	-0.333	0.888
54660	4145461	-3887	0.077	-0.256	0.861
54673	4145461	-3887	0.146	-0.062	0.977
54697	4145643	-3887	0.142	-0.146	0.892
54717	4145643	-3887	0.124	-0.268	0.896
54737	4145509	-3889	0.159	-0.229	0.732
54758	4145509	-3889	0.391	-0.186	0.635
54770	4145509	-3889	0.401	-0.266	0.615
54781	4145453	-3885	0.348	-0.275	0.604
54791	4145453	-3885	0.298	-0.270	0.614
54795	4145453	-3886	0.066	-0.262	0.776
54831	4145463	-3886	0.063	-0.244	0.810
54845	4145463	-3886	0.074	-0.232	0.869
54864	4145339	-3889	0.017	-0.270	0.701
54887	4145339	-3889	0.049	-0.219	0.611
54909	4145468	-3888	-0.024	-0.147	0.653
54931	4145468	-3888	-0.218	-0.090	0.546
54952	4145383	-3885	-0.353	-0.126	0.493
54970	4145383	-3885	-0.208	-0.221	0.560
54994	4145240	-3884	-0.034	-0.222	0.641
55015	4145240	-3886	0.015	-0.319	0.590
55037	4145283	-3886	0.037	-0.326	0.765
55059	4145281	-3884	-0.121	-0.346	0.729
55076	4145281	-3884	-0.123	-0.389	0.711
55087	4145281	-3884	0.013	-0.385	0.724
55098	4145281	-3885	0.243	-0.411	0.692
55132	4145603	-3885	0.353	-0.393	0.637
55156	4145299	-3885	0.424	-0.444	0.892
55176	4145299	-3885	0.187	-0.707	1.037
55198	4145353	-3885	0.062	-0.853	1.170
55219	4145353	-3885	0.240	-0.366	0.884
55240	4145367	-3885	0.156	-0.438	0.830
55260	4145367	-3884	0.030	-0.390	1.032
55282	4145421	-3884	0.019	-0.322	1.152
55296	4145421	-3884	-0.010	-0.216	1.444
55306	4145438	-3886	0.228	-0.426	1.358
